Seed,Chances,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th
1,114,0.114,0.11048,0.10654,0.10113,0.097121517,0.4697485,-,-,-,-,-,-,-,-,-,-
2,113,0.113,0.10964,0.10594,0.10066,0.096856303,0.273959687,0.198980523,-,-,-,-,-,-,-,-,-
3,112,0.112,0.10883,0.10524,0.1001,0.096583301,0.14774426,0.254418021,0.073992375,-,-,-,-,-,-,-,-
4,111,0.111,0.10799,0.10459,0.09961,0.096302424,0.071305985,0.229151741,0.155604727,0.023329507,-,-,-,-,-,-,-
5,99,0.099,0.09781,0.09643,0.09338,0.092286209,0.029955433,0.178901736,0.225852659,0.07871453,0.006640841,-,-,-,-,-,-
6,89,0.089,0.08901,0.08884,0.08745,0.087957413,0.007286135,0.103399999,0.247827887,0.163777979,0.032706894,0.001628625,-,-,-,-,-
7,79,0.079,0.07993,0.08088,0.0808,0.082650324,-,0.035147981,0.200782567,0.252457099,0.095718294,0.011285822,0.00032993,-,-,-,-
8,69,0.069,0.07065,0.07236,0.07312,0.076292792,-,-,0.095939785,0.28655237,0.205870698,0.045859965,0.003156441,5.21E-05,-,-,-
9,59,0.059,0.06106,0.06333,0.06456,0.0688224,-,-,-,0.195168516,0.330166227,0.138035949,0.017764072,0.000682618,5.92E-06,-,-
10,49,0.049,0.05126,0.05377,0.05517,0.060187367,-,-,-,-,0.328897047,0.31882601,0.075763309,0.005354113,0.000106539,4.36E-07,-
11,39,0.039,0.04125,0.04372,0.04513,0.050346694,-,-,-,-,-,0.484363629,0.260173529,0.033103749,0.001185415,1.10E-05,1.64E-08
12,29,0.029,0.03097,0.03323,0.03428,0.039269774,-,-,-,-,-,-,0.642812718,0.177445267,0.011070449,0.000182278,6.12E-07
13,19,0.019,0.02049,0.02216,0.02293,0.026935671,-,-,-,-,-,-,-,0.783362173,0.100735516,0.002859243,1.71E-05
14,9,0.009,0.0098,0.01073,0.01021,0.013332206,-,-,-,-,-,-,-,-,0.886896161,0.057687207,0.000634341
15,6,0.006,0.00654,0.00707,0.00611,0.009002796,-,-,-,-,-,-,-,-,-,0.93925983,0.023970831
16,4,0.004,0.00437,0.00472,0.0033,0.006052811,-,-,-,-,-,-,-,-,-,-,0.975377148
